Reward:-113.962 | Episode:1240 | Qmax:-2.7697 | Episode Length:2 |  True | Age:29.756 | Credit Amt:1805.176 | Duration:21.976 | 
Reward:-114.187 | Episode:1250 | Qmax:-3.1447 | Episode Length:2 |  True | Age:30.372 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-111.511 | Episode:1260 | Qmax:-2.2178 | Episode Length:2 |  True | Age:29.312 | Credit Amt:1805.176 | Duration:22.834 | 
Reward:-112.353 | Episode:1270 | Qmax:-2.2118 | Episode Length:2 |  True | Age:29.143 | Credit Amt:1805.176 | Duration:22.483 | 
Reward:-113.733 | Episode:1280 | Qmax:-2.7840 | Episode Length:2 |  True | Age:29.229 | Credit Amt:1805.176 | Duration:22.000 | 
Reward:-113.996 | Episode:1290 | Qmax:-2.1965 | Episode Length:2 |  True | Age:29.833 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.175 | Episode:1300 | Qmax:-4.8924 | Episode Length:2 |  True | Age:30.343 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.119 | Episode:1310 | Qmax:-2.6617 | Episode Length:2 |  True | Age:30.190 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.084 | Episode:1320 | Qmax:-2.2393 | Episode Length:2 |  True | Age:30.093 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.090 | Episode:1330 | Qmax:-2.9117 | Episode Length:2 |  True | Age:30.108 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-112.051 | Episode:1340 | Qmax:-2.2942 | Episode Length:2 |  True | Age:29.319 | Credit Amt:1805.176 | Duration:22.618 | 
Reward:-110.243 | Episode:1350 | Qmax:-2.5274 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:23.355 | 
Reward:-111.852 | Episode:1360 | Qmax:-2.1944 | Episode Length:2 |  True | Age:29.800 | Credit Amt:1805.176 | Duration:22.756 | 
Reward:-112.972 | Episode:1370 | Qmax:-2.2214 | Episode Length:2 |  True | Age:29.654 | Credit Amt:1805.176 | Duration:22.309 | 
Reward:-109.259 | Episode:1380 | Qmax:-2.9229 | Episode Length:2 |  True | Age:29.676 | Credit Amt:1805.176 | Duration:23.952 | 
Reward:-109.029 | Episode:1390 | Qmax:-2.5107 | Episode Length:2 |  True | Age:29.947 | Credit Amt:1805.176 | Duration:24.130 | 
Reward:-109.799 | Episode:1400 | Qmax:-2.1876 | Episode Length:2 |  True | Age:30.375 | Credit Amt:1805.176 | Duration:23.793 | 
Reward:-107.413 | Episode:1410 | Qmax:-2.2258 | Episode Length:2 |  True | Age:29.156 | Credit Amt:1805.176 | Duration:25.001 | 
Reward:-106.176 | Episode:1420 | Qmax:-3.6016 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:25.953 | 
Reward:-107.510 | Episode:1430 | Qmax:-2.2031 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:24.904 | 
Reward:-108.205 | Episode:1440 | Qmax:-2.2110 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:24.450 | 
Reward:-109.459 | Episode:1450 | Qmax:-2.2697 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:23.742 | 
Reward:-111.156 | Episode:1460 | Qmax:-2.1760 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.947 | 
Reward:-111.550 | Episode:1470 | Qmax:-2.2503 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.783 | 
Reward:-113.740 | Episode:1480 | Qmax:-2.1839 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.976 | 
Reward:-28.292 | Episode:1490 | Qmax:-2.5831 | Episode Length:1 |  True | Age:29.000 | Credit Amt:2249.469 | Duration:27.191 | 
Reward:-17.423 | Episode:1500 | Qmax:-2.6140 | Episode Length:1 |  True | Age:29.000 | Credit Amt:2332.939 | Duration:27.294 | 
Reward:-112.406 | Episode:1510 | Qmax:-2.2374 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.449 | 
Reward:-111.359 | Episode:1520 | Qmax:-2.1911 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.862 | 
Reward:-111.953 | Episode:1530 | Qmax:-2.1969 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.622 | 
Reward:-110.222 | Episode:1540 | Qmax:-2.3369 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:23.365 | 
Reward:-112.588 | Episode:1550 | Qmax:-2.1989 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.381 | 
Reward:-113.750 | Episode:1560 | Qmax:-2.1886 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1570 | Qmax:-2.1974 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1580 | Qmax:-2.2022 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1590 | Qmax:-2.2150 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1600 | Qmax:-2.2071 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1610 | Qmax:-2.2688 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1620 | Qmax:-2.2236 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1630 | Qmax:-2.2097 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1640 | Qmax:-3.8809 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:1650 | Qmax:-2.2183 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-23.718 | Episode:1660 | Qmax:-2.8460 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2353.796 | Duration:21.973 | 
Reward:-69.958 | Episode:1670 | Qmax:-2.5946 | Episode Length:2 |  True | Age:29.367 | Credit Amt:2033.410 | Duration:21.973 | 
Reward:-33.102 | Episode:1680 | Qmax:-2.2276 | Episode Length:2 |  True | Age:29.469 | Credit Amt:2280.208 | Duration:21.973 | 
Reward:-113.896 | Episode:1690 | Qmax:-2.5283 | Episode Length:2 |  True | Age:29.517 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.995 | Episode:1700 | Qmax:-3.4976 | Episode Length:2 |  True | Age:29.829 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.992 | Episode:1710 | Qmax:-2.9941 | Episode Length:2 |  True | Age:29.821 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.619 | Episode:1720 | Qmax:-2.3669 | Episode Length:3 |  True | Age:31.370 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-59.242 | Episode:1730 | Qmax:-7.2319 | Episode Length:2 |  True | Age:31.963 | Credit Amt:2098.397 | Duration:22.369 | 
