Reward:-226.744 | Episode:1510 | Qmax:-68.4062 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-214.370 | Episode:1520 | Qmax:-69.0825 | Episode Length:49 |  False | Age:30.828 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-221.998 | Episode:1530 | Qmax:-69.6415 | Episode Length:49 |  False | Age:37.430 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1540 | Qmax:-70.5844 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1550 | Qmax:-71.6399 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-41.006 | Episode:1560 | Qmax:-73.1573 | Episode Length:49 |  False | Age:39.000 | Credit Amt:9521.455 | Duration:41.973 | 
Reward:-226.744 | Episode:1570 | Qmax:-73.6970 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1580 | Qmax:-74.3292 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1590 | Qmax:-74.7380 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-216.027 | Episode:1600 | Qmax:-75.6797 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:33.130 | 
Reward:-226.744 | Episode:1610 | Qmax:-76.0265 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-116.102 | Episode:1620 | Qmax:-76.3804 | Episode Length:14 |  True | Age:33.584 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:8.522 | Episode:1630 | Qmax:-76.4796 | Episode Length:22 |  True | Age:29.054 | Credit Amt:2667.663 | Duration:21.973 | 
Reward:-58.340 | Episode:1640 | Qmax:-76.4688 | Episode Length:12 |  True | Age:29.065 | Credit Amt:2036.721 | Duration:31.672 | 
Reward:-11.744 | Episode:1650 | Qmax:-76.2327 | Episode Length:49 |  False | Age:29.097 | Credit Amt:7286.485 | Duration:41.973 | 
Reward:-174.841 | Episode:1660 | Qmax:-75.4911 | Episode Length:49 |  False | Age:39.000 | Credit Amt:2081.761 | Duration:41.973 | 
Reward:-215.823 | Episode:1670 | Qmax:-74.4190 | Episode Length:49 |  False | Age:33.254 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-214.238 | Episode:1680 | Qmax:-74.1867 | Episode Length:49 |  False | Age:30.504 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1690 | Qmax:-74.1983 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1700 | Qmax:-74.3085 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1710 | Qmax:-73.9401 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1720 | Qmax:-73.5425 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
